Date ,close
2025-11-12,101663
2025-11-11,102997
2025-11-10,105997
2025-11-09,104720
2025-11-08,102282
2025-11-07,103372
2025-11-06,101301
2025-11-05,103892
2025-11-04,101591
2025-11-03,106548
2025-11-02,110640
2025-11-01,110064
2025-10-31,109556
2025-10-30,108306
2025-10-29,110055
2025-10-28,112956
2025-10-27,114119
2025-10-26,114472
2025-10-25,111642
2025-10-24,111034
2025-10-23,110070
2025-10-22,107689
2025-10-21,108477
2025-10-20,110589
2025-10-19,108667
2025-10-18,107198
2025-10-17,106468
2025-10-16,108186
2025-10-15,110783
2025-10-14,113119
2025-10-13,115271
2025-10-12,115170
2025-10-11,110808
2025-10-10,113214
2025-10-09,121706
2025-10-08,123355
2025-10-07,121451
2025-10-06,124753
2025-10-05,123513
2025-10-04,122425
2025-10-03,122267
2025-10-02,120681
2025-10-01,118649
2025-09-30,114056
2025-09-29,114400
2025-09-28,112123
2025-09-27,109682
2025-09-26,109713
2025-09-25,109049
2025-09-24,113329
2025-09-23,112014
2025-09-22,112749
2025-09-21,115306
2025-09-20,115722
2025-09-19,115689
2025-09-18,117137
2025-09-17,116469
2025-09-16,116843
2025-09-15,115445
2025-09-14,115408
2025-09-13,115951
2025-09-12,116102
2025-09-11,115508
2025-09-10,113955
2025-09-09,111531
2025-09-08,112071
2025-09-07,111168
2025-09-06,110225
2025-09-05,110651
2025-09-04,110724
2025-09-03,111723
2025-09-02,111201
2025-09-01,109251
2025-08-31,108237
2025-08-30,108808
2025-08-29,108411
2025-08-28,112545
2025-08-27,111222
2025-08-26,111803
2025-08-25,110124
2025-08-24,113458
2025-08-23,115374
2025-08-22,116874
2025-08-21,112419
2025-08-20,114275
2025-08-19,112831
2025-08-18,116252
2025-08-17,117453
2025-08-16,117491
2025-08-15,117398
2025-08-14,118360
2025-08-13,123344
2025-08-12,120173
2025-08-11,118731
2025-08-10,119307
2025-08-09,116500
2025-08-08,116689
2025-08-07,117497
2025-08-06,115028
2025-08-05,114141
2025-08-04,115072
2025-08-03,114218
2025-08-02,112527
2025-08-01,113320
2025-07-31,115758
2025-07-30,117831
2025-07-29,117922
2025-07-28,117924
2025-07-27,119448
2025-07-26,117947
2025-07-25,117636
2025-07-24,118368
2025-07-23,118755
2025-07-22,119995
2025-07-21,117440
2025-07-20,117301
2025-07-19,117940
2025-07-18,118003
2025-07-17,119290
2025-07-16,118739
2025-07-15,117777
2025-07-14,119850
2025-07-13,119116
2025-07-12,117435
2025-07-11,117517
2025-07-10,115987
2025-07-09,111327
2025-07-08,108950
2025-07-07,108300
2025-07-06,109232
2025-07-05,108231
2025-07-04,108034
2025-07-03,109648
2025-07-02,108859
2025-07-01,105698
2025-06-30,107135
2025-06-29,108386
2025-06-28,107328
2025-06-27,107088
2025-06-26,106960
2025-06-25,107361
2025-06-24,106046
2025-06-23,105578
2025-06-22,100987
2025-06-21,102257
2025-06-20,103310
2025-06-19,104684
2025-06-18,104883
2025-06-17,104601
2025-06-16,106797
2025-06-15,105552
2025-06-14,105472
2025-06-13,106091
2025-06-12,105929
2025-06-11,108687
2025-06-10,110257
2025-06-09,110294
2025-06-08,105794
2025-06-07,105616
2025-06-06,104390
2025-06-05,101576
2025-06-04,104732
2025-06-03,105432
2025-06-02,105882
2025-06-01,105652
2025-05-31,104638
2025-05-30,103999
2025-05-29,105642
2025-05-28,107802
2025-05-27,108995
2025-05-26,109440
2025-05-25,109035
2025-05-24,107791
2025-05-23,107288
2025-05-22,111673
2025-05-21,109678
2025-05-20,106791
2025-05-19,105606
2025-05-18,106446
2025-05-17,103191
2025-05-16,103489
2025-05-15,103745
2025-05-14,103539
2025-05-13,104170
2025-05-12,102813
2025-05-11,104106
2025-05-10,104696
2025-05-09,102971
2025-05-08,103241
2025-05-07,97032
2025-05-06,96802
2025-05-05,94748
2025-05-04,94316
2025-05-03,95892
2025-05-02,96910
2025-05-01,96492
2025-04-30,94207
2025-04-29,94285
2025-04-28,94979
2025-04-27,93755
2025-04-26,94647
2025-04-25,94720
2025-04-24,93944
2025-04-23,93699
2025-04-22,93442
2025-04-21,87519
2025-04-20,85174
2025-04-19,85063
2025-04-18,84451
2025-04-17,84896
2025-04-16,84034
2025-04-15,83669
2025-04-14,84542
2025-04-13,83685
2025-04-12,85287
2025-04-11,83405
2025-04-10,79626
2025-04-09,82574
2025-04-08,76272
2025-04-07,79235
2025-04-06,78214
2025-04-05,83505
2025-04-04,83844
2025-04-03,83103
2025-04-02,82486
2025-04-01,85169
2025-03-31,82549
2025-03-30,82335
2025-03-29,82598
2025-03-28,84353
2025-03-27,87177
2025-03-26,86901
2025-03-25,87472
2025-03-24,87499
2025-03-23,86054
2025-03-22,83832
2025-03-21,84043
2025-03-20,84167
2025-03-19,86854
2025-03-18,82719
2025-03-17,84076
2025-03-16,82580
2025-03-15,84343
2025-03-14,83969
2025-03-13,81067
2025-03-12,83722
2025-03-11,82862
2025-03-10,78532
2025-03-09,80601
2025-03-08,86155
2025-03-07,86743
2025-03-06,89962
2025-03-05,90624
2025-03-04,87222
2025-03-03,86066
2025-03-02,94248
2025-03-01,86032
2025-02-28,84373
2025-02-27,84704
2025-02-26,84347
2025-02-25,88736
2025-02-24,91418
2025-02-23,96274
2025-02-22,96578
2025-02-21,96126
2025-02-20,98334
2025-02-19,96636
2025-02-18,95540
2025-02-17,95773
2025-02-16,96175
2025-02-15,97580
2025-02-14,97509
2025-02-13,96624
2025-02-12,97886
2025-02-11,95747
2025-02-10,97438
2025-02-09,96500
2025-02-08,96482
2025-02-07,96529
2025-02-06,96593
2025-02-05,96615
2025-02-04,97872
2025-02-03,101405
2025-02-02,97689
2025-02-01,100656
2025-01-31,102405
2025-01-30,104735
2025-01-29,103703
2025-01-28,101332
2025-01-27,102088
2025-01-26,102682
2025-01-25,104715
2025-01-24,104819
2025-01-23,103960
2025-01-22,103653
2025-01-21,106146
2025-01-20,102017
2025-01-19,101090
2025-01-18,104408
2025-01-17,104462
2025-01-16,99757
2025-01-15,100504
2025-01-14,96534
2025-01-13,94517
2025-01-12,94488
2025-01-11,94567
2025-01-10,94701
2025-01-09,92484
2025-01-08,95044
2025-01-07,96923
2025-01-06,102078
2025-01-05,98315
2025-01-04,98236
2025-01-03,98107
2025-01-02,96887
2025-01-01,94420
2024-12-31,93429
2024-12-30,92643
2024-12-29,93530
2024-12-28,95164
2024-12-27,94165
2024-12-26,95796
2024-12-25,99299
2024-12-24,98676
2024-12-23,94686
2024-12-22,95105
2024-12-21,97225
2024-12-20,97756
2024-12-19,97491
2024-12-18,100042
2024-12-17,106141
2024-12-16,106030
2024-12-15,104299
2024-12-14,101373
2024-12-13,101459
2024-12-12,100043
2024-12-11,101173
2024-12-10,96675
2024-12-09,97433
2024-12-08,101236
2024-12-07,99923
2024-12-06,99921
2024-12-05,96594
2024-12-04,98769
2024-12-03,96002
2024-12-02,95865
2024-12-01,97280
2024-11-30,96449
2024-11-29,97462
2024-11-28,95652
2024-11-27,95963
2024-11-26,91985
2024-11-25,93102
2024-11-24,98014
2024-11-23,97777
2024-11-22,98998
2024-11-21,98505
2024-11-20,94339
2024-11-19,92344
2024-11-18,90543
2024-11-17,89846
2024-11-16,90558
2024-11-15,91066
2024-11-14,87250
2024-11-13,90584
2024-11-12,87956
2024-11-11,88701
2024-11-10,80474
2024-11-09,76779
2024-11-08,76545
2024-11-07,75905
2024-11-06,75639
2024-11-05,69360
2024-11-04,67812
2024-11-03,68741
2024-11-02,69289
2024-11-01,69482
2024-10-31,70215
2024-10-30,72340
2024-10-29,72720
2024-10-28,69908
2024-10-27,67929
2024-10-26,67015
2024-10-25,66642
2024-10-24,68161
2024-10-23,66432
2024-10-22,67361
2024-10-21,67368
2024-10-20,69002
2024-10-19,68363
2024-10-18,68419
2024-10-17,67400
2024-10-16,67613
2024-10-15,67041
2024-10-14,66046
2024-10-13,62851
2024-10-12,63193
2024-10-11,62445